,user,tweet,stem,label,tokenizing
582,Budhi Santoso,CINA SDH BANYAK TINGKAH SKRG,cina sdh tingkah skrg,0,"['cina', 'sdh', 'banyak', 'tingkah', 'skrg']"
583,Blendrang Tewel,Bentar lg mewek2 minta maaf,bentar lg mewek maaf,1,"['bentar', 'lg', 'mewek', 'minta', 'maaf']"
584,Arifuddin,polisi begini yg merusak namax polisi,polisi rusak namax polisi,-1,"['polisi', 'begini', 'yg', 'merusak', 'namax', 'polisi']"
585,AnugrahRaka Pratama,Ujung Ujung ny gek minta maaf..,ujung ujung ny gek maaf,1,"['ujung', 'ujung', 'ny', 'gek', 'minta', 'maaf']"
586,Jakarevo Si Kiroen,Tolong min bapaknya itu di pertemukan dengan aku,tolong min bapak temu,0,"['tolong', 'min', 'bapaknya', 'itu', 'di', 'pertemukan', 'dengan', 'aku']"
587,Kencana,KAOS MERAH.. ANDA TIDAK PANTAS ANIAYA WANITA. MIKIR..!!,kaos merah aniaya wanita mikir,0,"['kaos', 'merah', 'anda', 'tidak', 'pantas', 'aniaya', 'wanita', 'mikir']"
588,Iskandar Zulkarrnin,Lanjut ke meja hijau,meja hijau,0,"['lanjut', 'ke', 'meja', 'hijau']"
589,Dhanny Ramdeey Rama,Sing jelas yg namanya kekerasan iku yow melbu penjara. Kecuali minta maaf terus di maafnooo,sing nama keras iku yow melbu penjara kecuali maaf maafnooo,-1,"['sing', 'jelas', 'yg', 'namanya', 'kekerasan', 'iku', 'yow', 'melbu', 'penjara', 'kecuali', 'minta', 'maaf', 'terus', 'di', 'maafnooo']"
590,Eka Wati,"Jaman skarang banyak para dokter"" yg membunuh pasien tp mn tnggung jawab nya"" sakit biasa di bilang covid di bawa ke rs mesti mati di tempat q bnyak tu sga sja orang kayak gitu kena azap dri allah",jaman skarang dokter bunuh pasien mn tnggung sakit bilang covid bawa rs mesti mati q bnyak sga sja orang kayak gitu kena azap dri allah,-1,"['jaman', 'skarang', 'banyak', 'para', 'dokter', 'yg', 'membunuh', 'pasien', 'tp', 'mn', 'tnggung', 'jawab', 'nya', 'sakit', 'biasa', 'di', 'bilang', 'covid', 'di', 'bawa', 'ke', 'rs', 'mesti', 'mati', 'di', 'tempat', 'q', 'bnyak', 'tu', 'sga', 'sja', 'orang', 'kayak', 'gitu', 'kena', 'azap', 'dri', 'allah']"
591,Prasetyo Bayu P,"Yg pulisi kaos putih pemirsa, bukan yg marah2",pulisi kaos putih pirsa marah,-1,"['yg', 'pulisi', 'kaos', 'putih', 'pemirsa', 'bukan', 'yg', 'marah']"
592,Ari Eko,Nunggu part 2,nunggu part,0,"['nunggu', 'part']"
593,Dedek Arpy,Pasti perwatnya bilang saya maafkan..,perwatnya bilang maaf,1,"['pasti', 'perwatnya', 'bilang', 'saya', 'maafkan']"
594,Agus Susiono,Sesalah2nya perawat bapak jelas ttp salah krna sprti itu.,salah awat ttp salah krna sprti,-1,"['sesalahnya', 'perawat', 'bapak', 'jelas', 'ttp', 'salah', 'krna', 'sprti', 'itu']"
595,Alfa Mandala,Yg sabarrr mas.ojo di bikin emosi nnt menyasal kemudian.,sabarrr mas ojo bikin emosi nnt menyasal,0,"['yg', 'sabarrr', 'mas', 'ojo', 'di', 'bikin', 'emosi', 'nnt', 'menyasal', 'kemudian']"
596,Devid Santoso,Salfok sama security,salfok security,0,"['salfok', 'sama', 'security']"
597,Andre Awan,Pas udah minta maaf kelar kasus nya,pas udah maaf kelar,1,"['pas', 'udah', 'minta', 'maaf', 'kelar', 'kasus', 'nya']"
598,Samsul Hadi,Suruh pasang sndiri saja.,suruh pasang sndiri,0,"['suruh', 'pasang', 'sndiri', 'saja']"
599,Poppy Pratiwie,Pelakunya kaos merah : Jason Tjakrawinata,laku kaos merah jason tjakrawinata,0,"['pelakunya', 'kaos', 'merah', 'jason', 'tjakrawinata']"
600,Nugraha Putra Ciamis,Woy dikira pasien elu aja gak kebayang cape cape kerja tapi di gituin,woy pasien elu aja bayang cape cape kerja gituin,1,"['woy', 'dikira', 'pasien', 'elu', 'aja', 'gak', 'kebayang', 'cape', 'cape', 'kerja', 'tapi', 'di', 'gituin']"
601,Sulis Tyanto,Halah paling ujung²nya klarifikasi minta maaf... tuh si bapak,halah ujung klarifikasi maaf tuh si,1,"['halah', 'paling', 'ujung', 'nya', 'klarifikasi', 'minta', 'maaf', 'tuh', 'si', 'bapak']"
602,Mohammad Abdur Rohim,Infus sendiri aja lu,infus aja lu,0,"['infus', 'sendiri', 'aja', 'lu']"
603,Ahmad Roijad Pulungan,Infus sendri aja d rumh,infus sendri aja d rumh,0,"['infus', 'sendri', 'aja', 'd', 'rumh']"
604,Fahmi Batavia,Lebay bapak baju merah bertopi.. kalo ga ngerti diem aja pak bos.. ga usah maen kasar.. jangan mau damai.. penjarakan.. saksi banyak... Biar kapok.. pake BPJS aje maen kasar,lebay baju merah top kalo ga ngerti diem aja bos ga maen kasar damai penjara saksi biar kapok pake bpjs aje maen kasar,-1,"['lebay', 'bapak', 'baju', 'merah', 'bertopi', 'kalo', 'ga', 'ngerti', 'diem', 'aja', 'pak', 'bos', 'ga', 'usah', 'maen', 'kasar', 'jangan', 'mau', 'damai', 'penjarakan', 'saksi', 'banyak', 'biar', 'kapok', 'pake', 'bpjs', 'aje', 'maen', 'kasar']"
605,Heaven Stricke,Gitu yg laki2 ya tdk brani untuk menolong perawat nya,gitu laki ya brani tolong awat,0,"['gitu', 'yg', 'laki', 'ya', 'tdk', 'brani', 'untuk', 'menolong', 'perawat', 'nya']"
606,Putra Pertama,"Kalo gak ada api ngk mungkin ada asap, ini kejadia jadikanlah sebagi pelajaran untuk perawat dan pelajaran buat kita semua.",kalo api ngk asap kejadia jadi bagi ajar awat ajar,-1,"['kalo', 'gak', 'ada', 'api', 'ngk', 'mungkin', 'ada', 'asap', 'ini', 'kejadia', 'jadikanlah', 'sebagi', 'pelajaran', 'untuk', 'perawat', 'dan', 'pelajaran', 'buat', 'kita', 'semua']"
607,Rheza Alfianda,Udh di tangkap kok pelakunya,udh tangkap laku,0,"['udh', 'di', 'tangkap', 'kok', 'pelakunya']"
608,Arieghan,Palingan klarifikasi nya saya meminta maaf atas perbuatan saya...,paling klarifikasi maaf buat,1,"['palingan', 'klarifikasi', 'nya', 'saya', 'meminta', 'maaf', 'atas', 'perbuatan', 'saya']"
609,Armando Armand,Yang pasti hukum pidana tuh,hukum pidana tuh,-1,"['yang', 'pasti', 'hukum', 'pidana', 'tuh']"
610,Rudhy Retro,Selamat datang di negri +62.....,selamat negri,1,"['selamat', 'datang', 'di', 'negri']"
611,Rohman Saleh,Klo masangnya di hidung ente... Enek dul...... Hadeh,klo masangnya hidung ente enek dul hadeh,0,"['klo', 'masangnya', 'di', 'hidung', 'ente', 'enek', 'dul', 'hadeh']"
612,Mamas Imbil,Buat korban...tuntut dan duitin aja tuh polisi,korban tuntut duitin aja tuh polisi,-1,"['buat', 'korban', 'tuntut', 'dan', 'duitin', 'aja', 'tuh', 'polisi']"
613,Ezen Ali,Menunggu video seterusnya,tunggu video,0,"['menunggu', 'video', 'seterusnya']"
614,Dave Ong,Ujung2 nya mewek minta maaf,ujung mewek maaf,1,"['ujung', 'nya', 'mewek', 'minta', 'maaf']"
615,Joint Tarigan,Makanya tiap pekerjaan perlu profesionalisme,kerja profesionalisme,0,"['makanya', 'tiap', 'pekerjaan', 'perlu', 'profesionalisme']"
616,Arimbi Arimbi Cyantik,Penjarain aja biar tau rasa .itu penganiayaan,penjarain aja biar tau aniaya,0,"['penjarain', 'aja', 'biar', 'tau', 'rasa', 'itu', 'penganiayaan']"
617,Fitri Ani,Nunggu video berikutnya sibotak..kalo ada sertakan dikomentar.,nunggu video sibotak kalo serta komentar,0,"['nunggu', 'video', 'berikutnya', 'sibotak', 'kalo', 'ada', 'sertakan', 'dikomentar']"
618,Mbudi Junkiez,"Kepada bapak aparat mohon ditindaklanjuti nie org stresss, inget perawat itu wanita..ganti tu pake BH ame rok..",aparat mohon ditindaklanjuti nie org stresss inget awat wanita ganti pake bh ame rok,0,"['kepada', 'bapak', 'aparat', 'mohon', 'ditindaklanjuti', 'nie', 'org', 'stresss', 'inget', 'perawat', 'itu', 'wanita', 'ganti', 'tu', 'pake', 'bh', 'ame', 'rok']"
619,J Samosir,Suruh pindah aja..pidana tetap,suruh pindah aja pidana,-1,"['suruh', 'pindah', 'aja', 'pidana', 'tetap']"
620,Jhon Mambas,"Penyidik tdk perlu berkeringat  akan hal ini, Bukti Videoo Jelas, Saksi Buanyak. Tinggal Gasss. Stop Arogansi Aparat, Ingat, Yg Gaji Kau Siapa ??",sidik keringat bukti videoo saksi buanyak tinggal gasss stop arogansi aparat gaji kau,0,"['penyidik', 'tdk', 'perlu', 'berkeringat', 'akan', 'hal', 'ini', 'bukti', 'videoo', 'jelas', 'saksi', 'buanyak', 'tinggal', 'gasss', 'stop', 'arogansi', 'aparat', 'ingat', 'yg', 'gaji', 'kau', 'siapa']"
621,Edward Chandra Palangka Raya,Bapakya itu di kasih obat bius aja keterlaluan,bapakya kasih obat bius aja,0,"['bapakya', 'itu', 'di', 'kasih', 'obat', 'bius', 'aja', 'keterlaluan']"
622,Rifky Hendrito,"Bntar lagi jg minta maaf,,bilang nya khilaf",bntar maaf bilang khilaf,1,"['bntar', 'lagi', 'jg', 'minta', 'maaf', 'bilang', 'nya', 'khilaf']"
623,Feri ZK,Indonesia makin kesini banyak orang gak jelas kayanya.. Makin banyak orang arogan makin banyak orang belaga gila..,indonesia kesini orang kaya orang arogan orang belaga gila,0,"['indonesia', 'makin', 'kesini', 'banyak', 'orang', 'gak', 'jelas', 'kayanya', 'makin', 'banyak', 'orang', 'arogan', 'makin', 'banyak', 'orang', 'belaga', 'gila']"
624,Mellyy Mellyy,Hukum saja ditolong mlah kayak gitu,hukum tolong mlah kayak gitu,0,"['hukum', 'saja', 'ditolong', 'mlah', 'kayak', 'gitu']"
625,Susi Rani,Arogann bngt sih yah pasang inpus ya pasti berdarah kadang Vena nya susah juga wajar lah ..smeena menaa,arogann bngt sih yah pasang inpus ya darah kadang vena susah wajar smeena menaa,-1,"['arogann', 'bngt', 'sih', 'yah', 'pasang', 'inpus', 'ya', 'pasti', 'berdarah', 'kadang', 'vena', 'nya', 'susah', 'juga', 'wajar', 'lah', 'smeena', 'menaa']"
626,Ahsan Alkholikin,Hasil sekolah suap,hasil sekolah suap,0,"['hasil', 'sekolah', 'suap']"
627,G-Heru Cokro Takashi,Kaos merah.... Masukan dulu... Dinginnya malam.,kaos merah masuk dingin malam,-1,"['kaos', 'merah', 'masukan', 'dulu', 'dinginnya', 'malam']"
628,Kherry Kher,"Masya Allah,maha benar netizen dengan segala pendapatnya. Hihihi",masya allah maha netizen dapat hihihi,0,"['masya', 'allah', 'maha', 'benar', 'netizen', 'dengan', 'segala', 'pendapatnya', 'hihihi']"
629,Romi Firnando,Cc Persatuan Perawat Nasional Indonesia,cc satu awat nasional indonesia,0,"['cc', 'persatuan', 'perawat', 'nasional', 'indonesia']"
630,Iwan Fitrawan,Bentar lagi ada yang muncul dengan video muka melas...,bentar muncul video muka melas,0,"['bentar', 'lagi', 'ada', 'yang', 'muncul', 'dengan', 'video', 'muka', 'melas']"
631,Ras Irvan,Palingan tandatangan matre selesai.,paling tandatangan matre selesai,0,"['palingan', 'tandatangan', 'matre', 'selesai']"
632,Edoe Baterek,"Pasti orang kaya baru, kalau ngk orang yang jarang ke rumah sakit karena takut keluar uang,",orang kaya ngk orang jarang rumah sakit takut uang,-1,"['pasti', 'orang', 'kaya', 'baru', 'kalau', 'ngk', 'orang', 'yang', 'jarang', 'ke', 'rumah', 'sakit', 'karena', 'takut', 'keluar', 'uang']"
633,Adang Yasgati,"Tenang banyak duit, dgn cakap maaf, masalah bersih tak bernoda seperti pemutih",tenang duit dgn cakap maaf bersih noda mutih,1,"['tenang', 'banyak', 'duit', 'dgn', 'cakap', 'maaf', 'masalah', 'bersih', 'tak', 'bernoda', 'seperti', 'pemutih']"
634,Sukandi Ji,emang kenapa kalau polisi?,emang polisi,0,"['emang', 'kenapa', 'kalau', 'polisi']"
635,Firdiaz,"Nih materai, 10rb sekarang",materai rb,0,"['nih', 'materai', 'rb', 'sekarang']"
636,Luky Soebrata,Wajar ortu korban ma polisi ada jabatan jadi sekendak ati,wajar ortu korban ma polisi jabat sekendak ati,-1,"['wajar', 'ortu', 'korban', 'ma', 'polisi', 'ada', 'jabatan', 'jadi', 'sekendak', 'ati']"
637,Mauliani Titin,Pak satpam nya takut makanya cuma diliatin,satpam takut diliatin,-1,"['pak', 'satpam', 'nya', 'takut', 'makanya', 'cuma', 'diliatin']"
638,Ihwanun Mudhofir Hariri,Satpamnya kok diem tau keributan gitu langsung sigap harusnya,satpam diem tau ribut gitu langsung sigap,0,"['satpamnya', 'kok', 'diem', 'tau', 'keributan', 'gitu', 'langsung', 'sigap', 'harusnya']"
639,Khodijah,Satpam nya ngapa woilah,satpam ngapa woilah,0,"['satpam', 'nya', 'ngapa', 'woilah']"
640,Tizhy,Awas aja kalau cuma minta maaf doang.,awas aja maaf doang,0,"['awas', 'aja', 'kalau', 'cuma', 'minta', 'maaf', 'doang']"
641,M Tohar Banega,Harus di proses hukum ni orang.,proses hukum ni orang,0,"['harus', 'di', 'proses', 'hukum', 'ni', 'orang']"
642,Prayitno,Wani ne karo suster wedok,wani ne karo suster wedok,0,"['wani', 'ne', 'karo', 'suster', 'wedok']"
643,Pace Yen,Coba langsung di penjara nnti minta maaf muka babingung lagii sudahh aman,coba langsung penjara nnti maaf muka babingung lagi sudahh aman,1,"['coba', 'langsung', 'di', 'penjara', 'nnti', 'minta', 'maaf', 'muka', 'babingung', 'lagii', 'sudahh', 'aman']"
644,Budi Arman,kadang suster banyak gak becus juga...,kadang suster becus,0,"['kadang', 'suster', 'banyak', 'gak', 'becus', 'juga']"
645,Paijin,Tetep satpamnya yang salah.. ngapain malah diem aja dia,tetep satpam salah ngapain diem aja,-1,"['tetep', 'satpamnya', 'yang', 'salah', 'ngapain', 'malah', 'diem', 'aja', 'dia']"
646,DhoniPrtm,Anak magang mungkin:v,anak magang v,0,"['anak', 'magang', 'mungkin', 'v']"
647,Zhen Zen,Mungkin pak polisinya lg banyak cicilan yg belum kebayar dan akhirnya si perwat jadi sasaran amarahnya....sabar mbak....,polisi lg cicil bayar si perwat sasar amarahnya sabar mbak,0,"['mungkin', 'pak', 'polisinya', 'lg', 'banyak', 'cicilan', 'yg', 'belum', 'kebayar', 'dan', 'akhirnya', 'si', 'perwat', 'jadi', 'sasaran', 'amarahnya', 'sabar', 'mbak']"
648,Asep Supriyatna,Klo emng mampu nyembuhin gausah kerumah sakit. Kasih aja bodrek perawat lah jd sasaran,klo emng nyembuhin gausah rumah sakit kasih aja bodrek awat jd sasar,-1,"['klo', 'emng', 'mampu', 'nyembuhin', 'gausah', 'kerumah', 'sakit', 'kasih', 'aja', 'bodrek', 'perawat', 'lah', 'jd', 'sasaran']"
649,Herman Herman,Itu security. Nya kok ngak guna gitu...,security ngak gitu,0,"['itu', 'security', 'nya', 'kok', 'ngak', 'guna', 'gitu']"
650,Chika Alfaris,i jahat kali kok Sampek di Jabak Jabak,i jahat kali sampek jabak jabak,-1,"['i', 'jahat', 'kali', 'kok', 'sampek', 'di', 'jabak', 'jabak']"
651,Fikri Maulana Yusuf,Itu satpam diem aje cewek digituin,satpam diem aje cewek digituin,0,"['itu', 'satpam', 'diem', 'aje', 'cewek', 'digituin']"
652,Tokogrosir Lokasari,"BANG JAGO 2021...BERANI NYA CM SM LANSIA, BALITA, CEWEK.",bang jago berani cm sm lansia balita cewek,0,"['bang', 'jago', 'berani', 'nya', 'cm', 'sm', 'lansia', 'balita', 'cewek']"
653,MenDrova Alfred,Satpamnya mental tempe  suruh pake rok ja,satpam mental tempe suruh pake rok ja,0,"['satpamnya', 'mental', 'tempe', 'suruh', 'pake', 'rok', 'ja']"
654,Tata Supriatna,"Saya p****i,,,terus harus arogan,,wadidaw ngeri kali",p i arogan wadidaw ngeri kali,-1,"['saya', 'p', 'i', 'terus', 'harus', 'arogan', 'wadidaw', 'ngeri', 'kali']"
655,Surani Rani,Ursmat jkcil.jarum g masuk bnyak kreteria seperti itu,ursmat jkcil jarum masuk bnyak kreteria,0,"['ursmat', 'jkcil', 'jarum', 'g', 'masuk', 'bnyak', 'kreteria', 'seperti', 'itu']"
656,Benny Dwirianto,"Tdi ngakunya aparat! Benar apa tidak ya! Klo benar, berarti si bapak itu somplak",tdi ngakunya aparat ya klo si somplak,0,"['tdi', 'ngakunya', 'aparat', 'benar', 'apa', 'tidak', 'ya', 'klo', 'benar', 'berarti', 'si', 'bapak', 'itu', 'somplak']"
657,Essy R,Itu scurity klhtan Kya takut,scurity klhtan kya takut,-1,"['itu', 'scurity', 'klhtan', 'kya', 'takut']"
658,Rohandi Youlie,Saya Masyarakat biasa..hehe,masyarakat hehe,0,"['saya', 'masyarakat', 'biasa', 'hehe']"
659,Erwan Da Widiatmoko,lah gimana ga ada yg ngelerai,gimana ga ngelerai,0,"['lah', 'gimana', 'ga', 'ada', 'yg', 'ngelerai']"
660,A Bhay Disana,bentar lagi ada yg butuh materai...,bentar butuh materai,0,"['bentar', 'lagi', 'ada', 'yg', 'butuh', 'materai']"
661,Hessel Herman Pandeyate,Rata2 yg komen belum baca berita deh...,komen baca berita,0,"['rata', 'yg', 'komen', 'belum', 'baca', 'berita', 'deh']"
662,Ditri,gile ya ngaku polisi terus main kasar gitu.masih makan nasi jangan sok keras..,gile ya ngaku polisi main kasar gitu makan nasi sok keras,-1,"['gile', 'ya', 'ngaku', 'polisi', 'terus', 'main', 'kasar', 'gitu', 'masih', 'makan', 'nasi', 'jangan', 'sok', 'keras']"
663,Rere Dhona,Marah wajar tapi jagan main tangan dan menggatas namakan jabatan.ini negara hukum pak!!,marah wajar jagan main tangan menggatas nama jabat negara hukum,-1,"['marah', 'wajar', 'tapi', 'jagan', 'main', 'tangan', 'dan', 'menggatas', 'namakan', 'jabatan', 'ini', 'negara', 'hukum', 'pak']"
664,Eka Wati,"Itu bukan dokter tp dokter abal"" itu",dokter dokter abal,0,"['itu', 'bukan', 'dokter', 'tp', 'dokter', 'abal', 'itu']"
665,Erick Wahyu W,"Mau polisi mau apa, harus ya buat tauladan yg baik, selesaikan dg baik, apa lagi aparatur negara...",polisi ya tauladan selesai dg aparatur negara,0,"['mau', 'polisi', 'mau', 'apa', 'harus', 'ya', 'buat', 'tauladan', 'yg', 'baik', 'selesaikan', 'dg', 'baik', 'apa', 'lagi', 'aparatur', 'negara']"
666,Eidy Lo,"Bang jago ee bang jago,,pecat sekuritynya yg bahkan ga berani msk kamar buat mencegah bang jago!!proses bang jago sampai akhir,,ga boleh ada damai!!",bang jago ee bang jago pecat sekuritynya ga berani msk kamar cegah bang jago proses bang jago ga damai,1,"['bang', 'jago', 'ee', 'bang', 'jago', 'pecat', 'sekuritynya', 'yg', 'bahkan', 'ga', 'berani', 'msk', 'kamar', 'buat', 'mencegah', 'bang', 'jago', 'proses', 'bang', 'jago', 'sampai', 'akhir', 'ga', 'boleh', 'ada', 'damai']"
667,Widi Yeni Artha,Sudah buat inform konsen belum?...,inform konsen,0,"['sudah', 'buat', 'inform', 'konsen', 'belum']"
668,Dy Dy,Ntar lagi permintaan maaf aja itu ato di luar pelaku di dorr.. sok arogan aja,ntar minta maaf aja ato laku dorr sok arogan aja,0,"['ntar', 'lagi', 'permintaan', 'maaf', 'aja', 'itu', 'ato', 'di', 'luar', 'pelaku', 'di', 'dorr', 'sok', 'arogan', 'aja']"
669,Herawaty Ompusunggu,Entah apa guna security yg baju hitam ini..,security baju hitam,0,"['entah', 'apa', 'guna', 'security', 'yg', 'baju', 'hitam', 'ini']"
670,Jack Win,"boleh tau Akun fb,ig nyaaa...   bls pliss.",tau akun fb ig nyaaa bls pliss,0,"['boleh', 'tau', 'akun', 'fb', 'ig', 'nyaaa', 'bls', 'pliss']"
671,Jauyan Priyadi,Securitinya baru ganti kelamin kayaknya..,securitinya ganti kelamin kayak,0,"['securitinya', 'baru', 'ganti', 'kelamin', 'kayaknya']"
672,Malik Firdaus,"Satpam nya pecat aja,, hasil nembak sertifikat ya gitu. Ga bisa ngapa""in disaat ada kejadian tak terduga yg mengganggu keamanan",satpam pecat aja hasil nembak sertifikat ya gitu ga ngapa in saat jadi duga ganggu aman,1,"['satpam', 'nya', 'pecat', 'aja', 'hasil', 'nembak', 'sertifikat', 'ya', 'gitu', 'ga', 'bisa', 'ngapa', 'in', 'disaat', 'ada', 'kejadian', 'tak', 'terduga', 'yg', 'mengganggu', 'keamanan']"
673,Teten Meshow Samuel,Produk Revolusi Bantal,produk revolusi bantal,0,"['produk', 'revolusi', 'bantal']"
674,Oemar Walidi,Gitu aje repot....klau bs lanjutkan.......,gitu aje repot klau bs lanjut,0,"['gitu', 'aje', 'repot', 'klau', 'bs', 'lanjutkan']"
675,Oktavianus La'bi,Yg pakek safari apa satpamnyaya?? Klo satpamnya kerja gk becuss.,pakek safari satpamnyaya klo satpam kerja gk becuss,0,"['yg', 'pakek', 'safari', 'apa', 'satpamnyaya', 'klo', 'satpamnya', 'kerja', 'gk', 'becuss']"
676,Septian Bagus,"Bntar lagi keciduk dan minta maap,ahh basiii",bntar ciduk maap ahh basiii,0,"['bntar', 'lagi', 'keciduk', 'dan', 'minta', 'maap', 'ahh', 'basiii']"
677,Mira Steven,Kalau dia polisi emang kenapa..mentang2...gitu,polisi emang mentang gitu,0,"['kalau', 'dia', 'polisi', 'emang', 'kenapa', 'mentang', 'gitu']"
678,Agoes Cahyono,vidio kurang lengkap dan jelas,vidio lengkap,-1,"['vidio', 'kurang', 'lengkap', 'dan', 'jelas']"
679,Muhammad Khobir,istrinya kompor komporin... meledak dah tu kompor...,istri kompor komporin ledak dah kompor,0,"['istrinya', 'kompor', 'komporin', 'meledak', 'dah', 'tu', 'kompor']"
680,Nofrie Chaniago,Kalo keluarga nya sakit lg,kalo keluarga sakit lg,-1,"['kalo', 'keluarga', 'nya', 'sakit', 'lg']"
681,Toyib Erdogan,Satpam a kok diem ja tu ketakutan,satpam a diem ja takut,-1,"['satpam', 'a', 'kok', 'diem', 'ja', 'tu', 'ketakutan']"
682,Krismas Romulo Pakpahan,Lahh...kog arogan gitu??,lahh kog arogan gitu,0,"['lahh', 'kog', 'arogan', 'gitu']"
683,Mybonsai,ciri ciri orang berdarah dingin,ciri ciri orang darah dingin,-1,"['ciri', 'ciri', 'orang', 'berdarah', 'dingin']"
684,Handoko Columbus,Gak gitu2 juga x klo merasa polisi.kekerasan ada uud KUHP  nya lo,gitu klo polisi keras uud kuhp lo,-1,"['gak', 'gitu', 'juga', 'x', 'klo', 'merasa', 'polisi', 'kekerasan', 'ada', 'uud', 'kuhp', 'nya', 'lo']"
685,Raihan N Alif,"Orang gerti k pura2 bodox ,gk lemos",orang gerti k pura bodox gk los,0,"['orang', 'gerti', 'k', 'pura', 'bodox', 'gk', 'lemos']"
686,Halimah Halimah,"Satpam,a itu kenapa?",satpam a,0,"['satpam', 'a', 'itu', 'kenapa']"
687,Akbar Naufal,Cuk satpamnya liatin doang,cuk satpam liatin doang,0,"['cuk', 'satpamnya', 'liatin', 'doang']"
688,Yanie James,Heranya tu sekuritinya mlh diam aja heran,hanya sekuriti mlh diam aja heran,1,"['heranya', 'tu', 'sekuritinya', 'mlh', 'diam', 'aja', 'heran']"
689,Indra S.,Siapkan meterai rp10.000,siap meterai rp,1,"['siapkan', 'meterai', 'rp']"
690,Maulana Pasterdai,Saran saya Pecat security nya,saran pecat security,0,"['saran', 'saya', 'pecat', 'security', 'nya']"
691,Abu Tamami,"Bentar juga ada video klarifikasi,minta MAAF,udah,selesai,kan polisi...",bentar video klarifikasi maaf udah selesai polisi,1,"['bentar', 'juga', 'ada', 'video', 'klarifikasi', 'minta', 'maaf', 'udah', 'selesai', 'kan', 'polisi']"
692,Budi Nugroho,Paling males liat yg sok kreak bawa2 kerjaan nya apa.. Apa dia gak tau asal viral selesai sudah,males liat sok kreak bawa kerja tau viral selesai,-1,"['paling', 'males', 'liat', 'yg', 'sok', 'kreak', 'bawa', 'kerjaan', 'nya', 'apa', 'apa', 'dia', 'gak', 'tau', 'asal', 'viral', 'selesai', 'sudah']"
693,Jun Forman,Waduh'bpk gmn sih namanya di infus ya pasti berdarah pak.,bpk gmn sih nama infus ya darah,0,"['waduh', 'bpk', 'gmn', 'sih', 'namanya', 'di', 'infus', 'ya', 'pasti', 'berdarah', 'pak']"
694,Liana Kecemol,Ini kronologi nya OPO to,kronologi opo to,0,"['ini', 'kronologi', 'nya', 'opo', 'to']"
695,Kenziro,Bapaknya panik..karena ketakutan lihat darah..,bapak panik takut lihat darah,-1,"['bapaknya', 'panik', 'karena', 'ketakutan', 'lihat', 'darah']"
696,BangJack,"Yaa maklumlah mentang2 ngakunya polisi, kalau dah ngaku polisi semuanya diam...polisi looo....dilawan",yaa maklum mentang ngakunya polisi dah ngaku polisi diam polisi looo lawan,-1,"['yaa', 'maklumlah', 'mentang', 'ngakunya', 'polisi', 'kalau', 'dah', 'ngaku', 'polisi', 'semuanya', 'diam', 'polisi', 'looo', 'dilawan']"
697,Resansius Resan,Eh  aku priksa gula darah dan suntik vaksin korona juga berdarah nananya juga ditusuk,eh priksa gula darah suntik vaksin korona darah nananya tusuk,0,"['eh', 'aku', 'priksa', 'gula', 'darah', 'dan', 'suntik', 'vaksin', 'korona', 'juga', 'berdarah', 'nananya', 'juga', 'ditusuk']"
698,Rudy Massing,Satpam juga tidak ada reaksi apa apa,satpam reaksi,0,"['satpam', 'juga', 'tidak', 'ada', 'reaksi', 'apa', 'apa']"
699,TahLis MuhamMad,Infus saja sendiri di rumah lu...,infus rumah lu,0,"['infus', 'saja', 'sendiri', 'di', 'rumah', 'lu']"
700,Hery Hery,Palingan sibpk ujung²nya minta maaf...,paling sibpk ujung maaf,1,"['palingan', 'sibpk', 'ujung', 'nya', 'minta', 'maaf']"
701,Widy Suprapto,Ada yg punya foto wajah penganiaya perawat.,foto wajah aniaya awat,0,"['ada', 'yg', 'punya', 'foto', 'wajah', 'penganiaya', 'perawat']"
702,Bambang Rocky Soetanto,Security-nya yg pake safari di pecat aja masa hanya jd penonton doank,security pake safari pecat aja jd tonton doank,0,"['security', 'nya', 'yg', 'pake', 'safari', 'di', 'pecat', 'aja', 'masa', 'hanya', 'jd', 'penonton', 'doank']"
703,Dikie Joob Id,Ko berita nya sipang siur sih...ada yang memasang impus ..ada pula yang mencopot impus ...jadi media mana yang akurat tuh ....?????????,ko berita sipang siur sih pasang impus copot impus media akurat tuh,0,"['ko', 'berita', 'nya', 'sipang', 'siur', 'sih', 'ada', 'yang', 'memasang', 'impus', 'ada', 'pula', 'yang', 'mencopot', 'impus', 'jadi', 'media', 'mana', 'yang', 'akurat', 'tuh']"
704,Papah Farel,"Hati"" om...",hati om,1,"['hati', 'om']"
705,San Siro,Di tunggu video Penyesalannya..!,tunggu video sesal,0,"['di', 'tunggu', 'video', 'penyesalannya']"
706,Vicki Aries Dinurya,Keras... Lor tapi kalau sdh terciduk nangis .. Lembek,keras lor sdh ciduk nang lembek,-1,"['keras', 'lor', 'tapi', 'kalau', 'sdh', 'terciduk', 'nangis', 'lembek']"
707,Juwita Salbi,Mgkin dy udah bayar mahal tapi pelayanan ga sesuai yg dy harapkan... Dtunggu klarifikasinya,mgkin dy udah bayar mahal layan ga sesuai dy harap dtunggu klarifikasi,1,"['mgkin', 'dy', 'udah', 'bayar', 'mahal', 'tapi', 'pelayanan', 'ga', 'sesuai', 'yg', 'dy', 'harapkan', 'dtunggu', 'klarifikasinya']"
