Username,Komen
Boru Ni Debataraja,Berani nya sm perempuan doang...emang kalo aparat knapa...presiden aja gk se songong ni..
Ocy Damanik,"gonikan aja itu pelaku. atau di lagakan sama yg imbang. biar tahu, gimana rasa nya kalau di gitukan."
Budi Hehoxs,"Semua tuhh ambik hikmahe,,biar suster melayaninpasien g ledah ledehh"
Ka Sutte,Saya tunggu kabar mewek muak nya ya om tante
Yanto Yanto,Udah usir ajah tu pasen
Apoymatic Papahnya Zidane,Kalo ga mau berdarah mah Dukun aje bos biar di sembur ntu bocah yg sakit
Ragil,Sabar jgn jadi sok jago. Sekuat2nya bang jago pasti tersungkur nanti
Meilia Susan,Dikira psang infus cma nempel di kulit
Dwi Lestari,"Bodoh sekali keamanan rumah sakit itu,,,,g bisa cm ngatasi satu orang,,,,,,klo gua jadi pimpinan satu udah aku pecat langsung,,,,,"
Yayan Mulyana,Part 2 pasti berisi klarifikasi dan penyesalan
Rasya Kencur,"Halah,.. susternyaa aja kurang ajar,.. emang kebanyakan suster kurang ajar kok"
Mustofa,"Meskipun kamu benar ,hai keluarga pasien,tapi kamu tetep salah,karna kamu menganiaya secara jelas dan sadar,kalo memang benar dia polisi,pecat aja,nggak becus ngayomi"
Muhammad Naufal,Di sudan sering terjadi
Yossy Karnadhy,Kita liat endingnya ........
Eddy Suharto,Paling minta maaf dan kilaf
Anang Fauzi,Rumah sakit itu ngeGaji security buat apaan yak?
Brian Putra,"Yg jadi pertanyaan kenapa satpamnya diem aja disitu, maju mundur gk berani ambil tindakan lihat perawat sampai nangis"""
Zurdhan Gombloh New,BIAR GAK USAH DI INFUS BIAR MATI SEKALIAN KAN BERES
Harry Aksara Yasa,Yang belain bapak ini fix anda sakit jiwa
Benni,"Security rumah sakit,,, security CABE-CABEAN NAMPAKNYA"
Ridho Wijaya,Pasien wajib menunutu perawat itu
Armya R Ya,Satpam nya pondan
Zack Pae Wulan,Anaknya suru obatin sendri aja dah
Cintäku Lhuayů Söebélum Bhérkembång,kalao emang benar ucapanya maka hancur citra polisi hanya karena orang berhati buas.
Lina Nurmalita,Apapun itu mslh jgn maen hakim sendiri semua ada etika nya...
Raden Adnan,Itu cara cara premanisme yang harus diusut tuntas
Bang Reno,Suruh bawah ke RsHewan aja anakny.dasar Ortu BUNGUL...
Rie Asyarie,"Akhir cerita selesai dg kata ""M A A F "" .."
Ragiel Ramadhan,Gue Polisi...
Aprilia Shafira Halimatussa'ban,"Kontrol emosi,,,suster hanya karyawan yg melakukan perintah atasanya,,"
Angga Yan Raharja,Yg namanya anak kecil dicoblos2 blm tentu dapet infusnya.. Kecuali anakmu diajari macul..
Liank Syah,"Seram bangedd """"""  ,,di tunggu Vidio klarifikasinya"
Try Rizky Zeb,"Dak Tek otak,,badan besar otak kurang,infus sendiri anak nya sendiri"
Widhi Atmoz,"Suruh pulang jgn di layani, bapaknya penjarakan"
Bagus Najuwa,Naluri seorang ayah...
Wahyu Allianz,Laporan sj k kantor polisi dan jgn smpe materei 10 rb bsa membuat si kaos merah bebas dr jerat hukum
Endik Soesanto,Part 2 sdh keluar blom ne
Jaye Agung Agung,Jangan emosi dong pak ingat ini bulan suci .seharusnya  menahan napsu sabr .
Raden Kusuma,Tugas keamana mana.. langsung pegang aja...
Vïñ Ťîêrrâ,Trus klo dia polisi bisa gitu ya marah² jambak² orang.. ya ampun.. susternya jg sdah nangis²..
K-rim Benzema,"Ujung2nya cuma minta maaf,dah kelar urusan,,,"
Dibo Boboy,Ditunggu video ejakulasi nya
Kurniawan Abdy,Nunggu episod. Yg klarifikasi
Robert Kenedy Ginting,"Terkadang apa yang kita lihat,tak sesuai dengan kejadian .."
Ade Ahmad Sabari,Njir mentang2 polusi
Pe Cin Ta Brazzers,"Udah jangan bertele tele, tes urine visum buat laporan kelar."
Areez Tfc,"Kan ada namanya teguran, ada prosedur utk komplain. Sy kira kita semua bangsa yg beradab. Bkn bar bar"
Erwin Triyanto,Ujung2nya minta maaf....
Aby,Ada beberapa yang tidak bisa di ajak hukum negara karena ego nya.
Chris DreGd,Manusia kok senangnya marah2 trus ya
Haris Iskandar,"Mohon pencerahan nya pak kapolri, jika oknum anggota polisi seperti ini....???"
Sunarko Narko,Udh ky anak paud aj klo dilihat yhhhh
Rudi Ziyaads,Polisi ga bermoral....ga pantas dan sudah tidak jamannya lagi bro
Dewa Ananda Wijaya,Lah yang d masukin jarum infus kan pembuluh darah.. wajar dong kalo keluar darah.. kalo gax pass masuk ke pembuluh darah malah fatal..
Khodel Res,"Gk segampang yg bpk kira,,,wajar berdarah"
Opank Oded,Mungkin dulu bnyak bolos pas praktek.....
J Wahyu S,"+62 beberapa orang. gratis aja galak, apalagi bayar wkwkwkkw"
Ependi Damanik,Serba salah kalau gini.. terkadang juga para Rs sukak buat emosi dengan dan tidak menenpat kan para perawat di posisi yg benar2 di pahami..
Budhi Santoso,CINA SDH BANYAK TINGKAH SKRG
Blendrang Tewel,Bentar lg mewek2 minta maaf
Arifuddin,polisi begini yg merusak namax polisi
AnugrahRaka Pratama,Ujung Ujung ny gek minta maaf..
Jakarevo Si Kiroen,Tolong min bapaknya itu di pertemukan dengan aku
Kencana,KAOS MERAH.. ANDA TIDAK PANTAS ANIAYA WANITA. MIKIR..!!
Iskandar Zulkarrnin,Lanjut ke meja hijau
Dhanny Ramdeey Rama,Sing jelas yg namanya kekerasan iku yow melbu penjara. Kecuali minta maaf terus di maafnooo
Eka Wati,"Jaman skarang banyak para dokter"" yg membunuh pasien tp mn tnggung jawab nya"" sakit biasa di bilang covid di bawa ke rs mesti mati di tempat q bnyak tu sga sja orang kayak gitu kena azap dri allah"
Prasetyo Bayu P,"Yg pulisi kaos putih pemirsa, bukan yg marah2"
Ari Eko,Nunggu part 2
Dedek Arpy,Pasti perwatnya bilang saya maafkan..
Agus Susiono,Sesalah2nya perawat bapak jelas ttp salah krna sprti itu.
Alfa Mandala,Yg sabarrr mas.ojo di bikin emosi nnt menyasal kemudian.
Devid Santoso,Salfok sama security
Andre Awan,Pas udah minta maaf kelar kasus nya
Samsul Hadi,Suruh pasang sndiri saja.
Poppy Pratiwie,Pelakunya kaos merah : Jason Tjakrawinata
Nugraha Putra Ciamis,Woy dikira pasien elu aja gak kebayang cape cape kerja tapi di gituin
Sulis Tyanto,Halah paling ujung²nya klarifikasi minta maaf... tuh si bapak
Mohammad Abdur Rohim,Infus sendiri aja lu
Ahmad Roijad Pulungan,Infus sendri aja d rumh
Fahmi Batavia,Lebay bapak baju merah bertopi.. kalo ga ngerti diem aja pak bos.. ga usah maen kasar.. jangan mau damai.. penjarakan.. saksi banyak... Biar kapok.. pake BPJS aje maen kasar
Heaven Stricke,Gitu yg laki2 ya tdk brani untuk menolong perawat nya
Putra Pertama,"Kalo gak ada api ngk mungkin ada asap, ini kejadia jadikanlah sebagi pelajaran untuk perawat dan pelajaran buat kita semua."
Rheza Alfianda,Udh di tangkap kok pelakunya
Arieghan,Palingan klarifikasi nya saya meminta maaf atas perbuatan saya...
Armando Armand,Yang pasti hukum pidana tuh
Rudhy Retro,Selamat datang di negri +62.....
Rohman Saleh,Klo masangnya di hidung ente... Enek dul...... Hadeh
Mamas Imbil,Buat korban...tuntut dan duitin aja tuh polisi
Ezen Ali,Menunggu video seterusnya
Dave Ong,Ujung2 nya mewek minta maaf
Joint Tarigan,Makanya tiap pekerjaan perlu profesionalisme
Arimbi Arimbi Cyantik,Penjarain aja biar tau rasa .itu penganiayaan
Fitri Ani,Nunggu video berikutnya sibotak..kalo ada sertakan dikomentar.
Mbudi Junkiez,"Kepada bapak aparat mohon ditindaklanjuti nie org stresss, inget perawat itu wanita..ganti tu pake BH ame rok.."
J Samosir,Suruh pindah aja..pidana tetap
Jhon Mambas,"Penyidik tdk perlu berkeringat  akan hal ini, Bukti Videoo Jelas, Saksi Buanyak. Tinggal Gasss. Stop Arogansi Aparat, Ingat, Yg Gaji Kau Siapa ??"
Edward Chandra Palangka Raya,Bapakya itu di kasih obat bius aja keterlaluan
Rifky Hendrito,"Bntar lagi jg minta maaf,,bilang nya khilaf"
Feri ZK,Indonesia makin kesini banyak orang gak jelas kayanya.. Makin banyak orang arogan makin banyak orang belaga gila..
Mellyy Mellyy,Hukum saja ditolong mlah kayak gitu
Susi Rani,Arogann bngt sih yah pasang inpus ya pasti berdarah kadang Vena nya susah juga wajar lah ..smeena menaa
Ahsan Alkholikin,Hasil sekolah suap
G-Heru Cokro Takashi,Kaos merah.... Masukan dulu... Dinginnya malam.
Kherry Kher,"Masya Allah,maha benar netizen dengan segala pendapatnya. Hihihi"
Romi Firnando,Cc Persatuan Perawat Nasional Indonesia
Iwan Fitrawan,Bentar lagi ada yang muncul dengan video muka melas...
Ras Irvan,Palingan tandatangan matre selesai.
Edoe Baterek,"Pasti orang kaya baru, kalau ngk orang yang jarang ke rumah sakit karena takut keluar uang,"
Adang Yasgati,"Tenang banyak duit, dgn cakap maaf, masalah bersih tak bernoda seperti pemutih"
Sukandi Ji,emang kenapa kalau polisi?
Firdiaz,"Nih materai, 10rb sekarang"
Luky Soebrata,Wajar ortu korban ma polisi ada jabatan jadi sekendak ati
Mauliani Titin,Pak satpam nya takut makanya cuma diliatin
Ihwanun Mudhofir Hariri,Satpamnya kok diem tau keributan gitu langsung sigap harusnya
Khodijah,Satpam nya ngapa woilah
Tizhy,Awas aja kalau cuma minta maaf doang.
M Tohar Banega,Harus di proses hukum ni orang.
Prayitno,Wani ne karo suster wedok
Pace Yen,Coba langsung di penjara nnti minta maaf muka babingung lagii sudahh aman
Budi Arman,kadang suster banyak gak becus juga...
Paijin,Tetep satpamnya yang salah.. ngapain malah diem aja dia
DhoniPrtm,Anak magang mungkin:v
Zhen Zen,Mungkin pak polisinya lg banyak cicilan yg belum kebayar dan akhirnya si perwat jadi sasaran amarahnya....sabar mbak....
Asep Supriyatna,Klo emng mampu nyembuhin gausah kerumah sakit. Kasih aja bodrek perawat lah jd sasaran
Herman Herman,Itu security. Nya kok ngak guna gitu...
Chika Alfaris,i jahat kali kok Sampek di Jabak Jabak
Fikri Maulana Yusuf,Itu satpam diem aje cewek digituin
Tokogrosir Lokasari,"BANG JAGO 2021...BERANI NYA CM SM LANSIA, BALITA, CEWEK."
MenDrova Alfred,Satpamnya mental tempe  suruh pake rok ja
Tata Supriatna,"Saya p****i,,,terus harus arogan,,wadidaw ngeri kali"
Surani Rani,Ursmat jkcil.jarum g masuk bnyak kreteria seperti itu
Benny Dwirianto,"Tdi ngakunya aparat! Benar apa tidak ya! Klo benar, berarti si bapak itu somplak"
Essy R,Itu scurity klhtan Kya takut
Rohandi Youlie,Saya Masyarakat biasa..hehe
Erwan Da Widiatmoko,lah gimana ga ada yg ngelerai
A Bhay Disana,bentar lagi ada yg butuh materai...
Hessel Herman Pandeyate,Rata2 yg komen belum baca berita deh...
Ditri,gile ya ngaku polisi terus main kasar gitu.masih makan nasi jangan sok keras..
Rere Dhona,Marah wajar tapi jagan main tangan dan menggatas namakan jabatan.ini negara hukum pak!!
Eka Wati,"Itu bukan dokter tp dokter abal"" itu"
Erick Wahyu W,"Mau polisi mau apa, harus ya buat tauladan yg baik, selesaikan dg baik, apa lagi aparatur negara..."
Eidy Lo,"Bang jago ee bang jago,,pecat sekuritynya yg bahkan ga berani msk kamar buat mencegah bang jago!!proses bang jago sampai akhir,,ga boleh ada damai!!"
Widi Yeni Artha,Sudah buat inform konsen belum?...
Dy Dy,Ntar lagi permintaan maaf aja itu ato di luar pelaku di dorr.. sok arogan aja
Herawaty Ompusunggu,Entah apa guna security yg baju hitam ini..
Jack Win,"boleh tau Akun fb,ig nyaaa...   bls pliss."
Jauyan Priyadi,Securitinya baru ganti kelamin kayaknya..
Malik Firdaus,"Satpam nya pecat aja,, hasil nembak sertifikat ya gitu. Ga bisa ngapa""in disaat ada kejadian tak terduga yg mengganggu keamanan"
Teten Meshow Samuel,Produk Revolusi Bantal
Oemar Walidi,Gitu aje repot....klau bs lanjutkan.......
Oktavianus La'bi,Yg pakek safari apa satpamnyaya?? Klo satpamnya kerja gk becuss.
Septian Bagus,"Bntar lagi keciduk dan minta maap,ahh basiii"
Mira Steven,Kalau dia polisi emang kenapa..mentang2...gitu
Agoes Cahyono,vidio kurang lengkap dan jelas
Muhammad Khobir,istrinya kompor komporin... meledak dah tu kompor...
Nofrie Chaniago,Kalo keluarga nya sakit lg
Toyib Erdogan,Satpam a kok diem ja tu ketakutan
Krismas Romulo Pakpahan,Lahh...kog arogan gitu??
Mybonsai,ciri ciri orang berdarah dingin
Handoko Columbus,Gak gitu2 juga x klo merasa polisi.kekerasan ada uud KUHP  nya lo
Raihan N Alif,"Orang gerti k pura2 bodox ,gk lemos"
Halimah Halimah,"Satpam,a itu kenapa?"
Akbar Naufal,Cuk satpamnya liatin doang
Yanie James,Heranya tu sekuritinya mlh diam aja heran
Indra S.,Siapkan meterai rp10.000
Maulana Pasterdai,Saran saya Pecat security nya
Abu Tamami,"Bentar juga ada video klarifikasi,minta MAAF,udah,selesai,kan polisi..."
Budi Nugroho,Paling males liat yg sok kreak bawa2 kerjaan nya apa.. Apa dia gak tau asal viral selesai sudah
Jun Forman,Waduh'bpk gmn sih namanya di infus ya pasti berdarah pak.
Liana Kecemol,Ini kronologi nya OPO to
Kenziro,Bapaknya panik..karena ketakutan lihat darah..
BangJack,"Yaa maklumlah mentang2 ngakunya polisi, kalau dah ngaku polisi semuanya diam...polisi looo....dilawan"
Resansius Resan,Eh  aku priksa gula darah dan suntik vaksin korona juga berdarah nananya juga ditusuk
Rudy Massing,Satpam juga tidak ada reaksi apa apa
TahLis MuhamMad,Infus saja sendiri di rumah lu...
Hery Hery,Palingan sibpk ujung²nya minta maaf...
Widy Suprapto,Ada yg punya foto wajah penganiaya perawat.
Bambang Rocky Soetanto,Security-nya yg pake safari di pecat aja masa hanya jd penonton doank
Dikie Joob Id,Ko berita nya sipang siur sih...ada yang memasang impus ..ada pula yang mencopot impus ...jadi media mana yang akurat tuh ....?????????
Papah Farel,"Hati"" om..."
San Siro,Di tunggu video Penyesalannya..!
Vicki Aries Dinurya,Keras... Lor tapi kalau sdh terciduk nangis .. Lembek
Juwita Salbi,Mgkin dy udah bayar mahal tapi pelayanan ga sesuai yg dy harapkan... Dtunggu klarifikasinya
Tiara Ambar,"Mentang""polisi yg nama ya si infus ya kluar darah pa aneh"
Hendri Hendri,Jangan ada kata maap. .....HUKUM DIA YG ANARKIS
Ka Mami,Lawan mana pengaman nya lemah banget
Edoy Doy,Apa yang dilakukan susternya dari awal sampai akhir harus jelas jg. Semua harus tau sebenarnya apa yang membuat bapak pasien ini se-emosi ini.
Firmansyah,Disini baru saya faham bedanya masuk umum dgn BPJS
Firman Faiz Hidayat,Fungsi semeriti apaan ? Badan doang bongsor
Axelsenrizal,mau polisi mah klo di tempat umum kita sama rata...
Azka Agastya,Satpam e jian ra guna
Ronny Mnda,"Suruh dia pasang sendri infus,binatang...dia pikir gampang ..dasar biadap."
Glenn Korah,"Woiii,,,Lo Gak Ada Ahklaak.!!!"
Fhaoel,"Blacklist aja tuh sekeluarga, jgn boleh berobat di RS mana pun,...biar diinfus"" sendiri, diobat""i sendiri,.."
Chin's Wijaya,"Bentar lagi ganti, gua OKNUM!!! Wkwkwkwk"
Mamengzah Jurukunci Kuburankidul,Di tusuk jarum y berdarah bego y kterlaluan hahhahaa
Asep Saputra,itu scurity nya ko diem aj sih
Andi Harun Razman Al-Bugisi,Satpam nya melawak kah ini?
Ka Mami,Wah duh s penjarakan  penganiyaan
Robbi Thedja,Makanya anaknya jgn sakit jadi ngga usah di infus... ngatur2 perawat.. proses
Nungky Anggraheni,Aku membawa barang indri dmn barang aku semua
Na Na Na Sampit,Yg baju item item itu satpam kh bukan.. Ko diam gt..
Roman Kobel,Itu yg mukulin polisi?
LaLa LaLa,Kesyel sm satpamnya juga
Abu Tamami,"Oh,itu polisi ya?"
Nungky Anggraheni,Aku gak punya hutang dan janji sama kamu kenapa kamu membawa barang aku
Ahmad Ramadhan Mursalin,Tuntut penjara n pencemaran nama baik nominal tanpa batas
Said Saifulloh,Lucu amat ngeliat bpk2 ini.....biasa ke dukun kayanya
Rony Rea Reo,Wooowww oknum polisi kok sperti it
Dodik Gomblo,Sekuriti kek kebo diam aje.
Wahyu Hidayat,perawat gajinya gak seberapa tapi pasien nya merasa raja
Nana Putra P,Mnding gk usah di tanganin tuh kluarga
Nungky Anggraheni,Gak perluh menyatukan aku sama amir
Gunawan Gombret,Gini jadi nya kalo jadi polisi hasil bantuan orang dalam
Opendry Marbun,Gak diperlakukan sama gak asik
Nungky Anggraheni,Aku gak mengambil barang kamu kenapa barang aku kamu ambil
Kurnia Sandy,Suruh impus pake pistol
Dian Gaul,Satpam
Nungky Anggraheni,Aku mohon kali ini saja aku repotkan kamu dimana barang aku semua
Indra Slamet,Kita tunggu kata kata Maaf sambil nangis dari si laki laki Cemen yg sok jago....
Uchiha Dhudy,"nga usah dirawat anaknya, biarkan ajha mati, susah amat, orang bgitu nga usah ditolongi, biarin dia yg obatin anaknya"
Nungky Anggraheni,Apa aku pernah pegang barangmu enggak kenapa kamu pegang barangku
North,Nunggu minta maaf nya
Bayulfashlan,Orang mana tuh.???
Sugeng Wiyono,coba kedukun aman kg diinfus
Steven Richard,"Percuma lapor polisi... Toh bapak nya yang ngeroyok polisi juga... Paling suruh damai... Bawa ke komisi perlindungan wanita, komnasham, ama ke polri biar bisa kena sanksi..."
Fahrul Didi,Gue gemes Ama satpam Nye
Asparin Rin,Macem binatang dan tak punyak akal iti si botak
Bonsai Alam,Emang kalau lo polisi bisa berbuat semena mena sombong sekali anda
Raden Adnan,Satpam RS nya kenapa gak bertindak tegas
Nungky Anggraheni,Tolong jawab dgn jujur dmn kamu taruk brg aku semua
Stya Fermana,Suruh bawa ke dukun aja. Jangan ke rs
Mohammad Rizki,Malu maluin nama bawa polisi
Ila Widara,Yg pake baju dongker diem aja tuh
Eckha Rockabilly,Ga ush pake klarifikasi biar kapok
Idris Kancill,tulah klo lulus hasil sogok
Rangga Adit Levi,Ya sakit bukan kita yang minta....
Achmadyazid,durasi jambaknya kurang Lamaa
Atiex Atux,Org nya menyesal tp mo gimna lagi nasi sudah jadi bubur buat pelajaran untk yg lain juga jangan main pukul seenak udel e dewe krn negara kita negra Hukum
Rinjani Herman,Aku loh kemarin darah di tangan sampai moncorot kayak geni sakit nya luar bisa dan suster nya kasar aku diyem aja.
Lingga Terate Sie,Hallo pak....
Nyayu Ayuu,Dah dilaporin
Dwi,Dia polisi kah? Kok Ngomong 2 polisi
Paimo Solo,Trs kl elu ngaku aparat.Lu bs pukuli orang??Tuntut sj.Biar dipecat
Re Ya,Aku diambil sample darah nya sampai lebam gini aku gak Marah
Farid Ari Purnawan,Dan akhirnya
Paimo Solo,"sj,+pasal penganiayaan.Coba elu mau apa?"
Refli,Otw ditangkap klo ga minta maaf nih
Supri Yanto,Padahal masih lucu lucunya sudah hilang ...... kasihan netxen +62
Alif,Pelkunya segera di tangkap aja .lalu di tonjok 100 x
Sara Pawitra,Pelaku udah pake baju baru weee
Khodijah,Tendang tytyd nya gemazzz saya liat nya
Wijaya Saputra,"Yg goblok itu security nya, sudah tau ada insiden kaya gitu malah diem aja...."
REVANZKY AZHURA ID,Di tolong ko kaya ajing..dsr kewn liarr tuh pasien.
Klinik Afiyah,
Klinik Afiyah,
REVANZKY AZHURA ID,Klo q yg jd perwat nya ku cekik tuh ank psien mpe modar di tolong gk tau diri bget
Klinik Afiyah,
Lyn Hws,"Lelaki baju merah nie, seharusnya di cek dulu, mungkin dia ada sakit mental, maklumlah musim pandemik, banyak orang sudah gila. Terbaik bpk celana pendek telah menolong dan meleraikan. Satpam di rumah kan aja karena ngga ada fungsional nya. Staff peraw…"
Dodi,
Ichfar Ippank,Uknum Polisi yg tolol tdk m'beri contoh mrusak Citra instansi pke sebut² pdhl tdk dlm tugas
Eny Wiandani,"Keinget 8 thn yg lalu, gara"" G bsa diinfus ditangan kanan & kiri jd mau diinfus dikaki, pas mau disuntik kekaki langsung dong ya kta sepakin perawatnya , dan akhirnya perawatnya ngalah ngelihat pasiennya nangis ketakutan disuntik dikaki , perawat…"
Fauzi Fauzi,
Yere Mias,Itu SECURITY nya ( pakai safari ) knp bnyak diam knpa TK ada aksi nya.
Yohanes Alexsia Wisang Anarkhy,yg pakai baju merah itu manusia apa bintang ? harimau saja mau nyerang mangsanya ngendap2 ..tapi Baju merah ini mengalah kan buas nya harimau ..lansung nyerang  brutal liar dasar otak binatang. .. paling2 minta mf mslh selesai.. bangsat banget
Aqiilah Vino,"Anak gue juga pernah di infus,sampai berdarah waktu mau disuntik,tapi gue ga sampai segitunya,gue berpikir mungkin dokternya bego,makanya gue maklumin,yg Jambak rambut susternya itu tidak dibenar kan,tp itu hal yg spontan dilakukan karena orang tua pas…"
Amely Lie,Kaya ny biaasa deh kl madalah infus berdarah mah..mungkin bpk nya lg bnyk pikiraan jd stres
Farhan Farid,"Sy pernah ngalamin 10 thn yg silam,mau Pasang infus di tangan  sampai suntik berkali-kali kasian anak saya sampai berdarah."
Muchammad Adha Yuliatmoko,Besok2 kalo dia sakit langsung suntik mati aja
Shopie Hana,Huufff sya juga kdg bentak suster nya juga .krna kondisi ank sya gimna ya .sya lgsung menangis. ..tpi bbrpa saat lgi sya minta maaf lgi..dan suster nya bilg iya buk .sya Pham sya juga seorang ibuk
Dadan Darusalam,"Anjing tuh bapak2 goblok . Ga segitunya kali . Ngejambak perempuan ampe sgtunya , klo pun tuh perawat salah , harusny komplain ke atasanny . Bukan main fisik . Ap lg sama wanita .."
Jaya Barandal,Dokter emang harus di gituin wong dia bayar ko. Yang pakai BPJS pun harus bgt kalo mereka ga mau ladenin/ga becus ladenin.suruh jadi dukun urut AE jgn jadi perawat)dokter.
Sumantri My,"""Yang baju merah jangan sampai lepas"" (alm.kasino)."
Mul Jr.,
S Pradiptya,Lucu liat yang pake baju safari... Bukannya nenangin/ngelerai malah nonton
Ayu Fransiska,"Kalau cabut infus, pasang infus gak mau berdarah... Besok besok berobat ke paranormal aja pak"
Lilis Haris,
Aldy,Garang2 dahulu.. ketangkap ciut... Bawa aja pulang ke rumah trus infus dan rawat sndri.. itu mah udah mending.. susternya udah berusaha ... Kalau kelalaian yg berakibat fatal mah keg kejadian yg prnh gw nnton wajar marah2...
Faeyza Fikri,
Ozge Serkan,"Goblok ni org wajar klu di ifus diccuk dom keluar darah,, klu a tendang burung bpk bju merah biar tau rasa'ny sakit.. jgn dim'f kn penjara'kn"
Etha Yopanus,ga lama minta maaf tapi anak orng dah d jambak2 .. pasang infus aja sndri bikin emosi liat
Purnama Putra Wayan,Klo gw dsana ud tempeleng tu bapak2 biar alam sadarnya kembali
Merry Tambunan,"Geram x nengoK nya bahh,, jijik x liat laki2 kasar"
Gede Agus,Kalo suda begini dh biar si  kluarga itu aja yng masang impus kalo emang bener bisa kasi conto tolol
Safrel Kana Loem,Teguran mgn prl tapi ngk segitu ny x
Gelandangan'e Lemah Wangi,Ni mah tolol klo gk mau berdarah suruh pasang sendri aj.
Fizka Gar,Perawat perawat belajar. Asal masuk kan jarum. Yg dikira dia nya boneka semua pasien ini. Coba coba. Kena batu nya kan
Irwan Hardi,Klo emg salah perawatnya gausah maen tangan jg goblok. Badan doang gede berani sm cewe
Enggar El-Rappha,"Kalo ga berdarah bukan pasang infus namanya tapi pasang perban, tapi apa iya harus di pukul dan dijambak cuma karena gitu doang? Anak lu masih hidup loh. Perdarahan karena infus ga bakal bikin anak lu mati kalo pasang nya di RS."
Tama,Mana ada masang infus g berdarah...goblok nya ini orang
Hanii,Lainya
Hanii,Odah
Rifal Rizky,Suster yahudi
Hanii,Yg
Hanii,Ada
Lavie Wildan Drummer,"Apapun alasan anda, anda bersalah memakai kekerasan."
Putra Dairi D'crack,Cak ela...
Yunike,kegoblokan yang harus tersiar sampe seluruh nusantara. Kapok kamu halomelisa21. Bodoh nggak tertolong. Sekolahpun percuma sudah tua.
Dhito Oziel Alvaro,Sekarang bisa lu ngomong gw polisi...abis Vidio ini viral..ente jadi mantan polisi..apakah harus seperti itu jadi aparatur negara.viral
Firmansyah Prasetyo,Sok jagoan matiin saja org spt itu dasar otak anjing babi
Mas Yayang,"Apapun alasanya,yg baju merah itu bajingan."
Shan Uwongoku,"Byk sekali perawat dak becus kerja.. aq 2x mengalami hal seperti ini di 2 RS yg berbeda, alasannya anaknya gendut tp ketika dokter nya dtg ga pake lama langsung bisa tu.. emang dasar perawatnya aja goblok"
Iyon Ayae Sheina Sheina,"Kalo main kasar sebetulnya semua orang bisa,"
Fhardoshe Imura,"Beraninya Sama perempuan,,sok kayak taik...gaya mu kayak taik.."
Edward Chandra Palangka Raya,Jangan cuman di penjara bapakya itu udah pasal penganiayaan itu bodi besar otak babi
Doremi Tralala,"Gua jual materai bos, jamin beres"
Nurirahmawati,Percma ada sekuriti
Ronny Afrisal,Securitynya kok ga ada sikap
Aquaplant Waru,Info lengkap lihat ig info komando ato lambe turah
Gooners Yuthiee,enak ni data nya disebar biar ga ada rumah sakit yang nerima itu keluarga . namanya cari infus berdarah mah wajar . bloon bloon
Muhammad Jariah,Brengsek ini orang.... Suruh pasang infus sendiri saja...
Jak Ramaa,"Dulu juga ada kejadian seperti itu pas mau di pasang infusan.a . Infusannya ga masuk""Ke pembuluh darah sampai bengkak tangan.a"
Zulkarnain Fuad,Bentar lg paling tu mati suami istri
Tanpa Nama,"Rawat sendiri anakmu pk,blaclish dr semua rs biar modar sekalian,nggak mghargai prawat emang lho kira apa di pukul di jmbak ngash mkn kagak.dasar setan braninya sama prempuan"
Mekz Khamis,kurang ajar yang pake baju merah
රධ,"ujung""nya klarifikasi minta maaf gitu aja trus bngst"
Kasih,Kalo tak becus jangan mau jadi perawat mbk...
Danoe Maksum,Biasa orang kaya.
Rajo Langit Timur,kurangya kesadaran dan mungkin dia orang kaya tp goblok.bravo suster.
Ade Bayou,Gede badannya mainnya jambakan kaya eike
Abdi Way,pasti ada sebab karna akibat...
Danil,Ujung a mintak maaf ini kan di +62
Deant Ahmad,Ga harus kasar seperti itu dooong..ANJIIINK
Yogi Pranata's,"Video kok setengah"""
Aris,BANG-SAD kao !!!
AF Gaming,ga lama LG mewek itu ketangkep sitolol
Daun Talas,Satpam nya pengecut wkwkwkwk dasar payah dasar lemah
Arz Alqaidah,tolong yang baju merah itu di kaplok cangkemee
Clay,Pelakunya wajib cacat tuh..
Wida Sajalah,Lebay bgd ortu nya goblok
Empu Sanibin Kunir,"satpam e kok bego yg baju hitam , seharusnya Satpam bisa mengatasi situasi gawat seperti itu."
Afkar Algivari,Paling jijik sma yg sok jago pgn gw bakar hiduo hidup
Umar Csm,"Klo udah maen kasar lapor polisi aja, penjarain"
Adi N,like baju merah topi putih
Jasiman JazZii,Aku rela membatalkan puasa demi nonjok tu muka
Ahmad Alfan,Itu satpam buat apa kok cuma plonga plongo aja...
Asw Lu Emng,Dih Botak Tengil
M Ikhsan Ihwani,Arogan nya terlalau
Adek Ardi,
Rinalusiana,Laki laki gak punya hati
Hary Merah Putih,Bagus pak hajar saja klw menjengkelkan
Sudarmono Marbun,M.A.A.F
Hary Merah Putih,"Pokoknya mmng dokter dan perawat mmng br3ngsek,mmng tidak semua tp kebanyakan perlakuan mereka seperti setan.emosi benar gua."
Bo'THa,Anjing lo boss.
Hary Merah Putih,"Mmng pihak rumah sakit melayan orang seperti binatang,padahal bayar.biar kapok tu dokter sekalian.p3rawatnya yng suja suka mmperlalkan oasien dg tidak sopan"
M Ade Syahputra,Begok tuh....
Van Diesel,Usut terusss ..
Putra,"Security nya ,aduh"
Khotimah Nuroshop II,Sombong bner bwa bawa jabatan
Antiko Ferry,Triyani
