Username,Komen
Thomas Bambang,Kalau dipasang infus kita harus nyantai biar kondisi tubuh lemas krn kalau sepaneng/tegang ya gitu deh! Giliran ada bag yg ketusuk ya keluar darah
Ari Purwanti,Itu di rumah sakit mana yaa
Eduard Pandia,Buat salah suster itu tp apa ada hak org tua menganiaya SUSTER...
Putriyuli Yuli,Mungkin depresi gangguan mental paling tempramental
Reza Ulinnuha,"Apapun alasannya, yg dilakukan si bapak pelaku merupakan penghinaan terhadap profesi kami....harus ada pertanggungjawaban"
Andi M Iqbal,"Semoga cepet di penjara,dengan muka melas nya"
Ronyboy,Satpamnya malah plototin doang bukannya tolongin
Febri Gunadi,"Klo mau ga kluar darah, infusnya jgan di tusukin ke pembuluh darah pak, tpi di minumin aja ke anaknya"
Joni Jev,Sangat cukup menunjukkan klo anda orangnya temperamen.
Damar Part II,hasil akhirnya seperti biasa
Suprantoko,Marah boleh tapi tidak harus seperti itu saya perawat sdh berusaha sebaik mungkin tapi hasil dan kenyataan bisa berbeda-beda laporkan saja kasus penganiayaan nya
Bah Kyt,"Jangan melihat atau menilai salah apa enggak nya yg perlakuan kasar seperti itu yg harus di tindak tempuh jalur hukum,karena itu tindakan kekerasan,tangkap dan penjarakan."
Mhd Yusuf Pratama,Tinggal nunggu si bapak ditahan dikepolisian atas kasus kekerasan disertai penganiayaan... Selamat anda akan mendekam kurang lebih 4 tahun
Ahmed,Okee...ditunggu video mewek mintaa maafnya ...
Osep Muhammad,ya kalau salah complain sesuai aturan. marah ok. tapi ga pake kekerasan. nanti juga nyesel sendiri setelah masuk bui. baru sadar kalau dia itu kampungan.
Purwanto,Pelaku di laporkan saja ke penegak Hukum selain kasus penganiyaan itu juga penghinaan terhadap Profesi ...sy GERAM lihat nya sama pelaku
Joe Felix SidiQia Putin,Ane dulu Sampe 3 x Ndak bisa...soal nya yg masang infus perawat magang...akhir nya manggil perawat yg senior..langsung bisa...ternyata ane jadi barang percobaan...kan asww..
Herry Sutrisno,Manusia ndak tau diri. Laporkan ke polisi....plng ujung2x minta maaf. Biar masuk bui....ini penganiayaan berjamaah. Biar mampus orng2 sok spt ini.
Dody Chandra,Arogan ...main pukul sama perempuan ..harus di proses ini orng..
Dimaz Bayu Nugroho,Di bulan puasa ini saya memohon agar smua bersabar...
Vrman Al Marsyah,"oh...lo puisi,,,bentar lg ganti oknum"
Kiki Mandasari,"Tidak ada kata alasan benar dalam memukul wanita, itu penganiayaan!!!! Marah boleh, tapi sewajarnya karna manusia. Jgn smpai tangan menjd buas karna emosi."
Ijus Tata,hebat ...tetap hrs di tindak lanjuti...jgn main hakim sendiri
Ros Angel,Ini lah indonesiaku..knapa? Haruskan dengan kekersan.ada sja manusia jenis seperti ini..apalgi jaman sekrang ini.hati dan pikiran sikap dan sifat tidak bisa di kawal
Ayyda,Tu  orang  gilaaa  kali..arogan..bukan  manusiaaa..amit2..tindak  lanjuti
Endang Puspita,Surah infus sendiri.
Yadi Mulyadi Ojos,Paling hg ujung2 tar minta maaf..khilaf biasanya....mudah2n aja jadi pelajaran buat kita semua..emosi tidak akan membereskan masalah.tapi bertambah masalah.maaf sekali lagi
Tata Setiawan,"Pembuluh darah anak kecil itu agak susah,beda jauh dengan pembuluh darah orang dewasa,sangat kelihatan sekali pelaku sok berkuasa!!!!"
Abdul Manan,Klo pelaku minta maaf ya dimaafin tp hukum harus tetap jalan....
Banyu Langit,Saya berharap si perawat punya pendamping orang berpangkat! Biar di bejek bejek tu laki laki yang sudah arogan sama seorang perempuan
Mukarto Riun,Itu bp satpam nya ku melenngo aja.jaga pintu ya
Arki,lebih baik aq diam. krn gak tau kejadian persisnya.
Roni Mambo,Bawa kedukun aja pak... Biar gk d infus
Hendra Fardiansyah,Bawa bawa nama kepolisian. APA gk malu tuh kapolrinya institusi nya di buat jelek namanya?
Elli Suryani,Harus diproses hukum itu jgn main arogan bagaimana pun itu perempuan tak sepantasnya main kasar bapak itu
Rudy Priawan,Saya memahami apa yg bapak rasakan semuanya saya serahkan ke pihak berwenang
M Denny Purba,Pak'Pol..yg masih punya hati nurani.
Poetoe Aza,Paling nnti klarifikasi minta maaf deh tu orang
Mohammad Riski,"Halaaah palingan ujung"" buat vidio klarifikasi kelar dah masalah.kirain hukum cuma bisa di beli pake uang aja.taunya pake vidio klarifikasi juga bisa."
An Ppa Azka,Proses hukum harus jalan Jangan hanya minta maaf
Yandy,Keamananx kok gt....malah kyk ga berbuat apa2
Yosep M,"Jangan ada damai, lanjutkan meja hijau."
Ahmed Busairi Buser,"Kalau saya org tua atau saudara perawat itu, akan saya tuntut sampe ke ubun ubun... Mereka profesional, mereka berpendidikan, mereka bukan babu kalian..."
Benk Harsono Harsono,Mmang klw polisi kau mau apa...sama2 mkn nasi pun kta..saad
Dedi Arianto,"Kalau diliat dari kamarnya jelas ini dirawat di kamar VIP atau minimal kelas 1, kalau orang dah punya uang jabatan atau kuasa apalagi dia bayar pasti berani ""negur"" kaya gitu.. coba aja dia di rawat di kelas 3 pakai bbjs atau kartu miskin pula.. Mana berani kaya gitu.."
Konang Prijanto,"Ketika emosi, dia merasa hebat dan jagoan sehingga bisa menganiaya orang lain..Tapi setelah di Kantor Polisi? Diam, malu seperti orang pesakitan.."
Muhammad Abdul Aziz,Gua polisi??
Fritz Harda,Wih hebat polisi sekarang beraninya ama perempuan
Khyrul Rizal,Nunggu permintaan maaf nya
Keylaanatasya,Jangan kasih kendor pak polisi proses hukum biar kapok
Susi Febrianti,Arogan banget . Itu berdarah apa pendarahan sih? .. Sampe kek gtu nya . Bukanya wajar ya kalau anak kecil ? Tetangga saya juga anak nya pernah kek gtu di pasang infus nya sama yg senior tapi ttep gak bisa akhirnya gak di infus .
Putra Samudra,Suruh masang sendiri klo udah ga bsa percaya sm tnaga medis
Irma Jamillah,Bawa pulang aja pak anak nya. Rawaaaat sendiri
Alysa Agus,Mungki bapak itu uda kesel sama perawatnya.ini juga buat efek jerah perawat
Muhd Ariyadi,Memang susah kita jaman skrg berurusan sama RS.
Dewi Anggraeni,Harus di hukum penganiayaan jangan ujung2  minta maaf
Rizki,Terkadang juga perawat songong mkanya keujadian kaya gitu
Arda Welly,Salut sama bapak yg baju kaos putih..
E S SA,Apa hubungan polisi sama infus
UL,Blacklist saja mereka sekeluarga dari seluruh r.s di Indonesia.
Tjhandra Lee II,Suruh msg sendiri jgn mau kalo d suruh masangin
Yendrizal,Manusia sok jago coba kita posaudara di gitukan ya tunggu aja hukum berlaku kalau tidak ya hukum rimba juga boleh
Arsal Rausanfikri,Kadang perawat juga semaunya
Ahmad Soemidja,Polisi arogan. Copot.. pelindung masyarakat macam apa.. pangkat berdiri dipundak rakyat kok sok2an
Agar Wicaksana,"Suruh pasang sendiri aja , rs manapun ga usah terima nanti di salahin lho"
Aris Ramadhan,Ditunggu klarifikasinya nih seru kayanya . Arrogan sekali sama cewe pak pak
Agus Randa,Tangkap dan penjarakan klu main hakim sendiri.
Ardy Ant,malas membaca jadi plokis..masang infus anak2 gak semudah pasang ke orang dewasa ferguso..ada2 aja kelakuaan nya
Supri,"Terkadang perawatnya belum pengalaman, yg apes pasien jadi praktekan."
Eko Rudy Setiyawan,Matrai masih banyak
Ferdi Kantur,Sabar bos jangan main pukul sajo
Nanda Asahra Defi Defi,.saya.dulu anaku di infus berdarah aku cuma bilang ke sister lain suruh bantu parang infus ga marah2
Ruth Toruan,Yg kaos merah pakein rok sm bh aja.
Rahendro Wahyu Hadi,"Apapun peketjaannya klo Gk pake hati,rasa Dan ikhlas yg Gk ada yg bener......."
Ning Deso Pitu,"Bapak melawan kok tulang lunak,, mentang"" polisi,,,oalaaa,,, badan kekar sekali banting mbak suster keok,,, sabar to pak"
Yunita Piliang,Maklumi aja..
Om Fungky,Ngga sabar nunggu kata2 permohonan maaf
Robinson Pasaribu,Masang infus berdarah itu biasa
Mas Iman Nur Qolbi,"Paling ujung2nya minta maaf, halah taek."
Indriani Oktavia,"""Saya polisi"" angkuh sekali bapaknya, bpak dibayar sama rakyat lohh."
Henri Siregar,"Pas doi bang tampu,"
Guntur Saputra,Siap2 dikandangin lu pak...pekok maksimal
Rahmat Al-Ghazali Pasaribu,Mngkin dokternya kurang praktek waktu sekolah..
Irwan Abbe,"up biar, materai dan maaf lahir batin"
Tri Edge,Biasanya yg masang Infus yg lagi pada belajar/magang..
Tengku Andrian,RS orang kaya..paling ujung2nya minta maaf...
San Veganza,Sudah pernah
Lea Transport,Itu satpamnya bengong aja... D bantu melerai... Ojok iso tebar pesona aja.  Giliran ada masalah malah bengung. Apapun persoalannya harus bisa melerai. Apalagi ada perawat kena GT... Terlepas siapa yg salah. Serba salah juga klo gini. Ntar klo d salahk…
John Gozal,Petarung MMA Heavy Weight Vs Suster Fly Weight
Ahmad Yasin,kalau sayo perawat kami di gitukan dak berdarah belum puas..
Ilham Syah,Bawa² nama POLISI lgi...sampean polisi harus bisa kasi contoh yg baik...itu lawan sampean wanita
Haydar Blade Sport,Suruh dirawat diluar aja
AL'vino G Sebastian,Tdk bisa berkomentar hanya menunggu saja kata maaf bapak ini
Ahmadt Pbg,Terlalu berlebihan..  saya juga punya anak....
Tanjung Naburju,"Jgn mau mba klo cuma minta maaf,, harus dipertanggung jawabkan di jeruji besi... Biar tdk ada lagi Nakes lain yg jadi korban bapak itu."
Zahra,Coba bapak yg menganiaya perawat itu suruh ganti posisi gimn kerja kaya kami baru tahu dia
Bil Tampubolon,Mari kita Cerdik Menilai Sesudah Ada kompirmasi dri ke2belapihak Tapi yg main Tangan Ada Sangsi Hukumnya Apapun Alasannya.
Nyolder Nyofwer,"audah dilaporkan kepolisi,kawal terus jangan mau damai !"
Abd Rohman,"Gue polisi, paling minta maaf beres"
Abby Razta Rockmantiez,woii doski ngaku polisi bilang nya..!! .
Ikha Supriyati,Idiih...gak punya hati...biar Allah yg balas
Jamial Haji,Itu sekuriti di gaji ko ga bisa ngamanin cuma bisa liat kasi aja tu suntik mati gede badan cuma diem aja
Putra Jaten,Gantung aja kalao aparat seperti itu tidak ada gunanya
Lavayanto,"Biaya belajar memang mahal,termasuk belajar menahan emosi.Dipenjara deh."
Ujang Riyanto,cari dan viralkan identitas pelaku. dia harus diproses tapi sebelum itu kita hukum rame rame.
Wahyu Juniarto,Bisa kan pakai kepala dingin?
Darmansyah Tea,"Di buka infus berdarah itu wajarr, orang dewasa aja suka ada yg berdarah apalagi anak kecil yg lg aktif2 nya"
De Li Sa,Arogan banget bapak itu. Kesel aq lihatnya
Boru Ni Debataraja,Berani nya sm perempuan doang...emang kalo aparat knapa...presiden aja gk se songong ni..
Ocy Damanik,"gonikan aja itu pelaku. atau di lagakan sama yg imbang. biar tahu, gimana rasa nya kalau di gitukan."
Budi Hehoxs,"Semua tuhh ambik hikmahe,,biar suster melayaninpasien g ledah ledehh"
Ka Sutte,Saya tunggu kabar mewek muak nya ya om tante
Yanto Yanto,Udah usir ajah tu pasen
Apoymatic Papahnya Zidane,Kalo ga mau berdarah mah Dukun aje bos biar di sembur ntu bocah yg sakit
Ragil,Sabar jgn jadi sok jago. Sekuat2nya bang jago pasti tersungkur nanti
Meilia Susan,Dikira psang infus cma nempel di kulit
Dwi Lestari,"Bodoh sekali keamanan rumah sakit itu,,,,g bisa cm ngatasi satu orang,,,,,,klo gua jadi pimpinan satu udah aku pecat langsung,,,,,"
Yayan Mulyana,Part 2 pasti berisi klarifikasi dan penyesalan
Rasya Kencur,"Halah,.. susternyaa aja kurang ajar,.. emang kebanyakan suster kurang ajar kok"
Mustofa,"Meskipun kamu benar ,hai keluarga pasien,tapi kamu tetep salah,karna kamu menganiaya secara jelas dan sadar,kalo memang benar dia polisi,pecat aja,nggak becus ngayomi"
Muhammad Naufal,Di sudan sering terjadi
Yossy Karnadhy,Kita liat endingnya ........
Eddy Suharto,Paling minta maaf dan kilaf
Anang Fauzi,Rumah sakit itu ngeGaji security buat apaan yak?
Brian Putra,"Yg jadi pertanyaan kenapa satpamnya diem aja disitu, maju mundur gk berani ambil tindakan lihat perawat sampai nangis"""
Zurdhan Gombloh New,BIAR GAK USAH DI INFUS BIAR MATI SEKALIAN KAN BERES
Harry Aksara Yasa,Yang belain bapak ini fix anda sakit jiwa
Benni,"Security rumah sakit,,, security CABE-CABEAN NAMPAKNYA"
Ridho Wijaya,Pasien wajib menunutu perawat itu
Armya R Ya,Satpam nya pondan
Zack Pae Wulan,Anaknya suru obatin sendri aja dah
Cintäku Lhuayů Söebélum Bhérkembång,kalao emang benar ucapanya maka hancur citra polisi hanya karena orang berhati buas.
Lina Nurmalita,Apapun itu mslh jgn maen hakim sendiri semua ada etika nya...
Raden Adnan,Itu cara cara premanisme yang harus diusut tuntas
Bang Reno,Suruh bawah ke RsHewan aja anakny.dasar Ortu BUNGUL...
Rie Asyarie,"Akhir cerita selesai dg kata ""M A A F "" .."
Ragiel Ramadhan,Gue Polisi...
Aprilia Shafira Halimatussa'ban,"Kontrol emosi,,,suster hanya karyawan yg melakukan perintah atasanya,,"
Angga Yan Raharja,Yg namanya anak kecil dicoblos2 blm tentu dapet infusnya.. Kecuali anakmu diajari macul..
Liank Syah,"Seram bangedd """"""  ,,di tunggu Vidio klarifikasinya"
Try Rizky Zeb,"Dak Tek otak,,badan besar otak kurang,infus sendiri anak nya sendiri"
Widhi Atmoz,"Suruh pulang jgn di layani, bapaknya penjarakan"
Bagus Najuwa,Naluri seorang ayah...
Wahyu Allianz,Laporan sj k kantor polisi dan jgn smpe materei 10 rb bsa membuat si kaos merah bebas dr jerat hukum
Endik Soesanto,Part 2 sdh keluar blom ne
Jaye Agung Agung,Jangan emosi dong pak ingat ini bulan suci .seharusnya  menahan napsu sabr .
Raden Kusuma,Tugas keamana mana.. langsung pegang aja...
Vïñ Ťîêrrâ,Trus klo dia polisi bisa gitu ya marah² jambak² orang.. ya ampun.. susternya jg sdah nangis²..
K-rim Benzema,"Ujung2nya cuma minta maaf,dah kelar urusan,,,"
Dibo Boboy,Ditunggu video ejakulasi nya
Kurniawan Abdy,Nunggu episod. Yg klarifikasi
Robert Kenedy Ginting,"Terkadang apa yang kita lihat,tak sesuai dengan kejadian .."
Ade Ahmad Sabari,Njir mentang2 polusi
Pe Cin Ta Brazzers,"Udah jangan bertele tele, tes urine visum buat laporan kelar."
Areez Tfc,"Kan ada namanya teguran, ada prosedur utk komplain. Sy kira kita semua bangsa yg beradab. Bkn bar bar"
Erwin Triyanto,Ujung2nya minta maaf....
Aby,Ada beberapa yang tidak bisa di ajak hukum negara karena ego nya.
Chris DreGd,Manusia kok senangnya marah2 trus ya
Haris Iskandar,"Mohon pencerahan nya pak kapolri, jika oknum anggota polisi seperti ini....???"
Sunarko Narko,Udh ky anak paud aj klo dilihat yhhhh
Rudi Ziyaads,Polisi ga bermoral....ga pantas dan sudah tidak jamannya lagi bro
Dewa Ananda Wijaya,Lah yang d masukin jarum infus kan pembuluh darah.. wajar dong kalo keluar darah.. kalo gax pass masuk ke pembuluh darah malah fatal..
Khodel Res,"Gk segampang yg bpk kira,,,wajar berdarah"
Opank Oded,Mungkin dulu bnyak bolos pas praktek.....
J Wahyu S,"+62 beberapa orang. gratis aja galak, apalagi bayar wkwkwkkw"
Ependi Damanik,Serba salah kalau gini.. terkadang juga para Rs sukak buat emosi dengan dan tidak menenpat kan para perawat di posisi yg benar2 di pahami..
Budhi Santoso,CINA SDH BANYAK TINGKAH SKRG
Blendrang Tewel,Bentar lg mewek2 minta maaf
Arifuddin,polisi begini yg merusak namax polisi
AnugrahRaka Pratama,Ujung Ujung ny gek minta maaf..
Jakarevo Si Kiroen,Tolong min bapaknya itu di pertemukan dengan aku
Kencana,KAOS MERAH.. ANDA TIDAK PANTAS ANIAYA WANITA. MIKIR..!!
Iskandar Zulkarrnin,Lanjut ke meja hijau
Dhanny Ramdeey Rama,Sing jelas yg namanya kekerasan iku yow melbu penjara. Kecuali minta maaf terus di maafnooo
Eka Wati,"Jaman skarang banyak para dokter"" yg membunuh pasien tp mn tnggung jawab nya"" sakit biasa di bilang covid di bawa ke rs mesti mati di tempat q bnyak tu sga sja orang kayak gitu kena azap dri allah"
Prasetyo Bayu P,"Yg pulisi kaos putih pemirsa, bukan yg marah2"
Ari Eko,Nunggu part 2
Dedek Arpy,Pasti perwatnya bilang saya maafkan..
Agus Susiono,Sesalah2nya perawat bapak jelas ttp salah krna sprti itu.
Alfa Mandala,Yg sabarrr mas.ojo di bikin emosi nnt menyasal kemudian.
Devid Santoso,Salfok sama security
Andre Awan,Pas udah minta maaf kelar kasus nya
Samsul Hadi,Suruh pasang sndiri saja.
Poppy Pratiwie,Pelakunya kaos merah : Jason Tjakrawinata
Nugraha Putra Ciamis,Woy dikira pasien elu aja gak kebayang cape cape kerja tapi di gituin
Sulis Tyanto,Halah paling ujung²nya klarifikasi minta maaf... tuh si bapak
Mohammad Abdur Rohim,Infus sendiri aja lu
Ahmad Roijad Pulungan,Infus sendri aja d rumh
Fahmi Batavia,Lebay bapak baju merah bertopi.. kalo ga ngerti diem aja pak bos.. ga usah maen kasar.. jangan mau damai.. penjarakan.. saksi banyak... Biar kapok.. pake BPJS aje maen kasar
Heaven Stricke,Gitu yg laki2 ya tdk brani untuk menolong perawat nya
Putra Pertama,"Kalo gak ada api ngk mungkin ada asap, ini kejadia jadikanlah sebagi pelajaran untuk perawat dan pelajaran buat kita semua."
Rheza Alfianda,Udh di tangkap kok pelakunya
Arieghan,Palingan klarifikasi nya saya meminta maaf atas perbuatan saya...
Armando Armand,Yang pasti hukum pidana tuh
Rudhy Retro,Selamat datang di negri +62.....
Rohman Saleh,Klo masangnya di hidung ente... Enek dul...... Hadeh
Mamas Imbil,Buat korban...tuntut dan duitin aja tuh polisi
Ezen Ali,Menunggu video seterusnya
Dave Ong,Ujung2 nya mewek minta maaf
Joint Tarigan,Makanya tiap pekerjaan perlu profesionalisme
Arimbi Arimbi Cyantik,Penjarain aja biar tau rasa .itu penganiayaan
Fitri Ani,Nunggu video berikutnya sibotak..kalo ada sertakan dikomentar.
Mbudi Junkiez,"Kepada bapak aparat mohon ditindaklanjuti nie org stresss, inget perawat itu wanita..ganti tu pake BH ame rok.."
J Samosir,Suruh pindah aja..pidana tetap
Jhon Mambas,"Penyidik tdk perlu berkeringat  akan hal ini, Bukti Videoo Jelas, Saksi Buanyak. Tinggal Gasss. Stop Arogansi Aparat, Ingat, Yg Gaji Kau Siapa ??"
Edward Chandra Palangka Raya,Bapakya itu di kasih obat bius aja keterlaluan
Rifky Hendrito,"Bntar lagi jg minta maaf,,bilang nya khilaf"
Feri ZK,Indonesia makin kesini banyak orang gak jelas kayanya.. Makin banyak orang arogan makin banyak orang belaga gila..
Mellyy Mellyy,Hukum saja ditolong mlah kayak gitu
Susi Rani,Arogann bngt sih yah pasang inpus ya pasti berdarah kadang Vena nya susah juga wajar lah ..smeena menaa
Ahsan Alkholikin,Hasil sekolah suap
G-Heru Cokro Takashi,Kaos merah.... Masukan dulu... Dinginnya malam.
Kherry Kher,"Masya Allah,maha benar netizen dengan segala pendapatnya. Hihihi"
Romi Firnando,Cc Persatuan Perawat Nasional Indonesia
Iwan Fitrawan,Bentar lagi ada yang muncul dengan video muka melas...
Ras Irvan,Palingan tandatangan matre selesai.
Edoe Baterek,"Pasti orang kaya baru, kalau ngk orang yang jarang ke rumah sakit karena takut keluar uang,"
Adang Yasgati,"Tenang banyak duit, dgn cakap maaf, masalah bersih tak bernoda seperti pemutih"
Sukandi Ji,emang kenapa kalau polisi?
Firdiaz,"Nih materai, 10rb sekarang"
Luky Soebrata,Wajar ortu korban ma polisi ada jabatan jadi sekendak ati
Mauliani Titin,Pak satpam nya takut makanya cuma diliatin
Ihwanun Mudhofir Hariri,Satpamnya kok diem tau keributan gitu langsung sigap harusnya
Khodijah,Satpam nya ngapa woilah
Tizhy,Awas aja kalau cuma minta maaf doang.
M Tohar Banega,Harus di proses hukum ni orang.
Prayitno,Wani ne karo suster wedok
Pace Yen,Coba langsung di penjara nnti minta maaf muka babingung lagii sudahh aman
Budi Arman,kadang suster banyak gak becus juga...
Paijin,Tetep satpamnya yang salah.. ngapain malah diem aja dia
DhoniPrtm,Anak magang mungkin:v
Zhen Zen,Mungkin pak polisinya lg banyak cicilan yg belum kebayar dan akhirnya si perwat jadi sasaran amarahnya....sabar mbak....
Asep Supriyatna,Klo emng mampu nyembuhin gausah kerumah sakit. Kasih aja bodrek perawat lah jd sasaran
Herman Herman,Itu security. Nya kok ngak guna gitu...
Chika Alfaris,i jahat kali kok Sampek di Jabak Jabak
Fikri Maulana Yusuf,Itu satpam diem aje cewek digituin
Tokogrosir Lokasari,"BANG JAGO 2021...BERANI NYA CM SM LANSIA, BALITA, CEWEK."
MenDrova Alfred,Satpamnya mental tempe  suruh pake rok ja
Tata Supriatna,"Saya p****i,,,terus harus arogan,,wadidaw ngeri kali"
Surani Rani,Ursmat jkcil.jarum g masuk bnyak kreteria seperti itu
Benny Dwirianto,"Tdi ngakunya aparat! Benar apa tidak ya! Klo benar, berarti si bapak itu somplak"
Essy R,Itu scurity klhtan Kya takut
Rohandi Youlie,Saya Masyarakat biasa..hehe
Erwan Da Widiatmoko,lah gimana ga ada yg ngelerai
A Bhay Disana,bentar lagi ada yg butuh materai...
Hessel Herman Pandeyate,Rata2 yg komen belum baca berita deh...
Ditri,gile ya ngaku polisi terus main kasar gitu.masih makan nasi jangan sok keras..
Rere Dhona,Marah wajar tapi jagan main tangan dan menggatas namakan jabatan.ini negara hukum pak!!
Eka Wati,"Itu bukan dokter tp dokter abal"" itu"
Erick Wahyu W,"Mau polisi mau apa, harus ya buat tauladan yg baik, selesaikan dg baik, apa lagi aparatur negara..."
Eidy Lo,"Bang jago ee bang jago,,pecat sekuritynya yg bahkan ga berani msk kamar buat mencegah bang jago!!proses bang jago sampai akhir,,ga boleh ada damai!!"
Widi Yeni Artha,Sudah buat inform konsen belum?...
Dy Dy,Ntar lagi permintaan maaf aja itu ato di luar pelaku di dorr.. sok arogan aja
Herawaty Ompusunggu,Entah apa guna security yg baju hitam ini..
Jack Win,"boleh tau Akun fb,ig nyaaa...   bls pliss."
Jauyan Priyadi,Securitinya baru ganti kelamin kayaknya..
Malik Firdaus,"Satpam nya pecat aja,, hasil nembak sertifikat ya gitu. Ga bisa ngapa""in disaat ada kejadian tak terduga yg mengganggu keamanan"
Teten Meshow Samuel,Produk Revolusi Bantal
Oemar Walidi,Gitu aje repot....klau bs lanjutkan.......
Oktavianus La'bi,Yg pakek safari apa satpamnyaya?? Klo satpamnya kerja gk becuss.
Septian Bagus,"Bntar lagi keciduk dan minta maap,ahh basiii"
Mira Steven,Kalau dia polisi emang kenapa..mentang2...gitu
Agoes Cahyono,vidio kurang lengkap dan jelas
Muhammad Khobir,istrinya kompor komporin... meledak dah tu kompor...
Nofrie Chaniago,Kalo keluarga nya sakit lg
Toyib Erdogan,Satpam a kok diem ja tu ketakutan
Krismas Romulo Pakpahan,Lahh...kog arogan gitu??
Mybonsai,ciri ciri orang berdarah dingin
Handoko Columbus,Gak gitu2 juga x klo merasa polisi.kekerasan ada uud KUHP  nya lo
Raihan N Alif,"Orang gerti k pura2 bodox ,gk lemos"
Halimah Halimah,"Satpam,a itu kenapa?"
Akbar Naufal,Cuk satpamnya liatin doang
Yanie James,Heranya tu sekuritinya mlh diam aja heran
Indra S.,Siapkan meterai rp10.000
Maulana Pasterdai,Saran saya Pecat security nya
Abu Tamami,"Bentar juga ada video klarifikasi,minta MAAF,udah,selesai,kan polisi..."
Budi Nugroho,Paling males liat yg sok kreak bawa2 kerjaan nya apa.. Apa dia gak tau asal viral selesai sudah
Jun Forman,Waduh'bpk gmn sih namanya di infus ya pasti berdarah pak.
Liana Kecemol,Ini kronologi nya OPO to
Kenziro,Bapaknya panik..karena ketakutan lihat darah..
BangJack,"Yaa maklumlah mentang2 ngakunya polisi, kalau dah ngaku polisi semuanya diam...polisi looo....dilawan"
Resansius Resan,Eh  aku priksa gula darah dan suntik vaksin korona juga berdarah nananya juga ditusuk
Rudy Massing,Satpam juga tidak ada reaksi apa apa
TahLis MuhamMad,Infus saja sendiri di rumah lu...
Hery Hery,Palingan sibpk ujung²nya minta maaf...
Widy Suprapto,Ada yg punya foto wajah penganiaya perawat.
Bambang Rocky Soetanto,Security-nya yg pake safari di pecat aja masa hanya jd penonton doank
Dikie Joob Id,Ko berita nya sipang siur sih...ada yang memasang impus ..ada pula yang mencopot impus ...jadi media mana yang akurat tuh ....?????????
Papah Farel,"Hati"" om..."
San Siro,Di tunggu video Penyesalannya..!
Vicki Aries Dinurya,Keras... Lor tapi kalau sdh terciduk nangis .. Lembek
Juwita Salbi,Mgkin dy udah bayar mahal tapi pelayanan ga sesuai yg dy harapkan... Dtunggu klarifikasinya
Tiara Ambar,"Mentang""polisi yg nama ya si infus ya kluar darah pa aneh"
Hendri Hendri,Jangan ada kata maap. .....HUKUM DIA YG ANARKIS
Ka Mami,Lawan mana pengaman nya lemah banget
Edoy Doy,Apa yang dilakukan susternya dari awal sampai akhir harus jelas jg. Semua harus tau sebenarnya apa yang membuat bapak pasien ini se-emosi ini.
Firmansyah,Disini baru saya faham bedanya masuk umum dgn BPJS
Firman Faiz Hidayat,Fungsi semeriti apaan ? Badan doang bongsor
Axelsenrizal,mau polisi mah klo di tempat umum kita sama rata...
Azka Agastya,Satpam e jian ra guna
Ronny Mnda,"Suruh dia pasang sendri infus,binatang...dia pikir gampang ..dasar biadap."
Glenn Korah,"Woiii,,,Lo Gak Ada Ahklaak.!!!"
Fhaoel,"Blacklist aja tuh sekeluarga, jgn boleh berobat di RS mana pun,...biar diinfus"" sendiri, diobat""i sendiri,.."
Chin's Wijaya,"Bentar lagi ganti, gua OKNUM!!! Wkwkwkwk"
Mamengzah Jurukunci Kuburankidul,Di tusuk jarum y berdarah bego y kterlaluan hahhahaa
Asep Saputra,itu scurity nya ko diem aj sih
Andi Harun Razman Al-Bugisi,Satpam nya melawak kah ini?
Ka Mami,Wah duh s penjarakan  penganiyaan
Robbi Thedja,Makanya anaknya jgn sakit jadi ngga usah di infus... ngatur2 perawat.. proses
Nungky Anggraheni,Aku membawa barang indri dmn barang aku semua
Na Na Na Sampit,Yg baju item item itu satpam kh bukan.. Ko diam gt..
Roman Kobel,Itu yg mukulin polisi?
LaLa LaLa,Kesyel sm satpamnya juga
Abu Tamami,"Oh,itu polisi ya?"
Nungky Anggraheni,Aku gak punya hutang dan janji sama kamu kenapa kamu membawa barang aku
Ahmad Ramadhan Mursalin,Tuntut penjara n pencemaran nama baik nominal tanpa batas
Said Saifulloh,Lucu amat ngeliat bpk2 ini.....biasa ke dukun kayanya
Rony Rea Reo,Wooowww oknum polisi kok sperti it
Dodik Gomblo,Sekuriti kek kebo diam aje.
Wahyu Hidayat,perawat gajinya gak seberapa tapi pasien nya merasa raja
Nana Putra P,Mnding gk usah di tanganin tuh kluarga
Nungky Anggraheni,Gak perluh menyatukan aku sama amir
Gunawan Gombret,Gini jadi nya kalo jadi polisi hasil bantuan orang dalam
Opendry Marbun,Gak diperlakukan sama gak asik
Nungky Anggraheni,Aku gak mengambil barang kamu kenapa barang aku kamu ambil
Kurnia Sandy,Suruh impus pake pistol
Dian Gaul,Satpam
Nungky Anggraheni,Aku mohon kali ini saja aku repotkan kamu dimana barang aku semua
Indra Slamet,Kita tunggu kata kata Maaf sambil nangis dari si laki laki Cemen yg sok jago....
Uchiha Dhudy,"nga usah dirawat anaknya, biarkan ajha mati, susah amat, orang bgitu nga usah ditolongi, biarin dia yg obatin anaknya"
Nungky Anggraheni,Apa aku pernah pegang barangmu enggak kenapa kamu pegang barangku
North,Nunggu minta maaf nya
Bayulfashlan,Orang mana tuh.???
Sugeng Wiyono,coba kedukun aman kg diinfus
